"","variable","coef","p_value"
"(Intercept)","(Intercept)",-0.0255669359750477,0.0478658824158395
"age","age",0.000583539831767616,1.40761574184109e-17
"sex2","sex2",-0.00923149870745052,7.44892072102755e-06
"nr_medication","nr_medication",0.000430870814798554,6.98614618557564e-12
"COPD_morb1","COPD_morb1",-0.015653759945621,0.000183880596135481
"migraine_morb1","migraine_morb1",-0.000282466404114999,0.96178760668273
"hartfalen_morb1","hartfalen_morb1",0.0673107542420461,3.77574101083356e-14
"nr_contacts_resp","nr_contacts_resp",0.00497166763763672,0.00301308529901448
"osteop_morb1","osteop_morb1",-0.0107275799570085,0.0439535418302481
"poor_immune_response1","poor_immune_response1",-0.0147870140124115,7.66673032441177e-09
"alcmisb_morb1","alcmisb_morb1",0.179260195209284,5.68083796900936e-22
"postalcode10","postalcode10",-0.0897849074839887,9.97177250656109e-12
"postalcode11","postalcode11",-0.0960506871885765,1.3833636487166e-09
"postalcode12","postalcode12",0.00390004407950335,0.772774579572839
"postalcode13","postalcode13",0.00788317466613261,0.94553207385569
"postalcode14","postalcode14",-0.0323125154515165,0.0309154276256807
"postalcode15","postalcode15",-0.132008400304791,8.57452638330603e-19
"postalcode16","postalcode16",0.0211008633255478,0.41211762707229
"postalcode17","postalcode17",-0.0950067000869801,3.50760520627462e-09
"postalcode18","postalcode18",0.047755868193418,0.00839695868595635
"postalcode19","postalcode19",-0.0890038787519125,4.91548689844548e-10
"postalcode20","postalcode20",-0.115978338219886,1.79047532468956e-17
"postalcode21","postalcode21",-0.10683674480869,4.64569109692227e-12
"postalcode22","postalcode22",-0.0629493260008532,2.47623927110733e-05
"postalcode23","postalcode23",-0.0642414816503312,9.1086749997832e-05
"postalcode24","postalcode24",0.0135041580122017,0.324471527465075
"postalcode25","postalcode25",-0.0161726857425806,0.268841527221136
"postalcode26","postalcode26",0.0117198996321229,0.436945168081701
"postalcode27","postalcode27",0.0118137758153453,0.474113205334747
"postalcode28","postalcode28",-0.00447256992011538,0.956542872633845
"postalcode29","postalcode29",0.00966333645848533,0.547252366722161
"postalcode30","postalcode30",-0.139448094489525,3.16715572521915e-26
"postalcode31","postalcode31",-0.0357444883263714,0.00853977252113936
"postalcode32","postalcode32",-0.0230668433653129,0.312002358543958
"postalcode33","postalcode33",-0.0161392391884605,0.335182614722893
"postalcode34","postalcode34",-0.026216459910965,0.0543943891790027
"postalcode35","postalcode35",-0.0484573194469217,0.00162256967180078
"postalcode36","postalcode36",-0.0375340200220748,0.376823180151723
"postalcode37","postalcode37",-0.00596858965927657,0.919016384925252
"postalcode38","postalcode38",0.0026042110242001,0.852344895059008
"postalcode39","postalcode39",0.0340111609186896,0.0199223583449121
"postalcode40","postalcode40",0.00581684709662956,0.741023026881227
"postalcode41","postalcode41",-0.0722440591271148,6.33698995916248e-07
"postalcode42","postalcode42",-0.0816307834773168,1.42031012170942e-07
"postalcode43","postalcode43",-0.0134131410761156,0.450063607308286
"postalcode46","postalcode46",0.0575188806747905,0.483442805459371
"postalcode47","postalcode47",-0.0696502132162246,0.00864208716478321
"postalcode50","postalcode50",0.029795495181706,0.158953148638692
"postalcode51","postalcode51",-0.0778615184172666,0.342711055650152
"postalcode52","postalcode52",-0.0134408379072647,0.41632460381367
"postalcode53","postalcode53",-0.0143325933269918,0.317631213835106
"postalcode54","postalcode54",-0.007198781841121,0.614352996413081
"postalcode55","postalcode55",-0.0577439180865642,0.150996410437937
"postalcode56","postalcode56",-0.14194713239885,1.0882513599624e-19
"postalcode57","postalcode57",-0.0507464779538802,0.0003082726451086
"postalcode58","postalcode58",-0.0554832975029926,0.000481102523012789
"postalcode59","postalcode59",-0.0847490453118284,0.0602959897787631
"postalcode60","postalcode60",-0.091603559686172,4.28878642323381e-10
"postalcode61","postalcode61",-0.0110507952476156,0.672111185677717
"postalcode62","postalcode62",-0.0369134556190551,0.15750999908117
"postalcode63","postalcode63",-0.0903730360240713,0.123732259136883
"postalcode64","postalcode64",-0.0471217288239184,0.00215039827530676
"postalcode65","postalcode65",-0.0238792982391792,0.103213598142034
"postalcode66","postalcode66",-0.0969713768526986,1.76459603113782e-12
"postalcode67","postalcode67",-0.0645884156340017,0.0088785117944482
"postalcode68","postalcode68",-0.00719038877070482,0.687491522898365
"postalcode69","postalcode69",0.00428086198174993,0.781682507784417
"postalcode70","postalcode70",-0.139271271455725,1.55022786421059e-19
"postalcode71","postalcode71",-0.118466226383009,6.67886197618551e-13
"postalcode72","postalcode72",0.0464336531732637,0.0121748837221194
"postalcode73","postalcode73",-0.143129307541468,3.24614512610205e-24
"postalcode74","postalcode74",-0.106955109935356,3.12723622862204e-13
"postalcode75","postalcode75",-0.0619823191205105,3.0002153439934e-05
"postalcode76","postalcode76",-0.112833603099905,2.70973364486906e-11
"postalcode77","postalcode77",-0.00312715595773729,0.850310903630671
"postalcode78","postalcode78",-0.0359706158294351,0.0281297680756566
"postalcode79","postalcode79",-0.0325515789827374,0.0143417134402451
"postalcode80","postalcode80",0.022722469862583,0.244967728799143
"postalcode81","postalcode81",-0.0390337076421636,0.014740536037755
"postalcode82","postalcode82",0.0532476401938926,0.000847626409648086
"postalcode83","postalcode83",-0.0149770787879922,0.372082382435154
"postalcode84","postalcode84",-0.121376136937795,3.04717049622908e-15
"postalcode85","postalcode85",-0.0090060666772433,0.565600916163754
"postalcode87","postalcode87",-0.207282041898279,0.0724059540761996
"postalcode88","postalcode88",0.048399875394932,0.00258464902164632
"postalcode89","postalcode89",-0.0736434986839098,8.62924977028368e-07
"postalcode90","postalcode90",-0.133891436624651,8.69377426868276e-08
"postalcode91","postalcode91",0.04316546208423,0.00919047864240147
"postalcode92","postalcode92",0.00743310717748043,0.59627216382497
"postalcode93","postalcode93",-0.000506342314437876,0.987088553794512
"postalcode94","postalcode94",-0.0195711585519883,0.31910485899184
"postalcode95","postalcode95",-0.00919236244029021,0.713182129894911
"postalcode96","postalcode96",-0.163486424158935,2.61869640024292e-31
"postalcode97","postalcode97",-0.0281287506577004,0.0444124515016133
"postalcode98","postalcode98",-0.00767255416019574,0.653420109004336
"postalcode99","postalcode99",0.00953980236366667,0.569573279043985
